,frame,behaviour,hit,values,freq
689,689,Nothing,,,
690,690,Nothing,,,
691,691,Nothing,,,
692,692,Nothing,,,
693,693,Nothing,,,
694,694,Nothing,,,
695,695,Nothing,,,
696,696,Nothing,,,
697,697,Nothing,,,
698,698,Nothing,,,
699,699,Nothing,,,
700,700,Nothing,,,
701,701,Nothing,,,
702,702,Nothing,,,
703,703,Nothing,,,
704,704,Nothing,,,
705,705,Nothing,,,
706,706,Nothing,,,
707,707,Nothing,,,
708,708,Nothing,,,
709,709,Nothing,,,
710,710,Nothing,,,
711,711,Nothing,,,
712,712,Nothing,,,
713,713,Nothing,,,
714,714,Nothing,,,
715,715,Nothing,,,
716,716,Nothing,,,
717,717,Nothing,,,
718,718,Nothing,,,
719,719,Nothing,,,
720,720,Nothing,,,
721,721,Nothing,,,
722,722,Nothing,,,
723,723,Nothing,,,
724,724,Nothing,,,
725,725,Nothing,,,
726,726,Nothing,,,
727,727,Nothing,,,
728,728,Nothing,,,
729,729,Nothing,,,
730,730,Nothing,,,
731,731,Nothing,,,
732,732,Nothing,,,
733,733,Nothing,,,
734,734,Nothing,,,
735,735,Nothing,,,
736,736,Nothing,,,
737,737,Nothing,,,
738,738,Nothing,,,
739,739,Nothing,,,
740,740,Nothing,,,
741,741,Nothing,,,
742,742,Nothing,,,
743,743,Nothing,,,
744,744,Nothing,,,
745,745,Nothing,,,
746,746,Nothing,,,
747,747,Nothing,,,
748,748,Nothing,,,
749,749,Nothing,,,
750,750,Nothing,,,
751,751,Nothing,,,
752,752,Nothing,,,
753,753,Nothing,,,
754,754,Nothing,,,
755,755,Nothing,,,
756,756,Nothing,,,
757,757,Nothing,,,
758,758,Nothing,,,
759,759,Nothing,,,
760,760,Nothing,,,
761,761,Nothing,,,
762,762,Nothing,,,
763,763,Nothing,,,
764,764,Nothing,,,
765,765,Nothing,,,
766,766,Nothing,,,
767,767,Nothing,,,
768,768,Nothing,,,
769,769,Nothing,,,
770,770,Nothing,,,
771,771,Nothing,,,
772,772,Nothing,,,
773,773,Nothing,,,
774,774,Nothing,,,
775,775,Nothing,,,
776,776,Nothing,,,
777,777,Nothing,,,
778,778,Nothing,,,
779,779,Nothing,,,
780,780,Nothing,,,
781,781,Nothing,,,
782,782,Nothing,,,
783,783,Nothing,,,
784,784,Nothing,,,
785,785,Nothing,,,
786,786,Nothing,,,
787,787,Nothing,,,
788,788,Nothing,,,
789,789,Nothing,,,
790,790,Nothing,,,
791,791,Nothing,,,
792,792,Nothing,,,
793,793,Nothing,,,
794,794,Nothing,,,
795,795,Nothing,,,
796,796,Nothing,,,
797,797,Nothing,,,
798,798,Nothing,,,
799,799,Nothing,,,
800,800,Nothing,,,
801,801,Nothing,,,
802,802,Nothing,,,
803,803,Nothing,,,
804,804,Nothing,,,
805,805,Nothing,,,
806,806,Nothing,,,
807,807,Nothing,,,
808,808,Nothing,,,
809,809,Nothing,,,
810,810,Nothing,,,
811,811,Nothing,,,
812,812,Nothing,,,
813,813,Nothing,,,
814,814,Nothing,,,
815,815,Nothing,,,
816,816,Nothing,,,
817,817,Nothing,,,
818,818,Nothing,,,
819,819,Nothing,,,
820,820,Nothing,,,
821,821,Nothing,,,
822,822,Nothing,,,
823,823,Nothing,,,
824,824,Nothing,,,
825,825,Nothing,,,
826,826,Nothing,,,
827,827,Nothing,,,
828,828,Nothing,,,
829,829,Nothing,,,
830,830,Nothing,,,
831,831,Nothing,,,
832,832,Nothing,,,
833,833,Nothing,,,
834,834,Nothing,,,
835,835,Nothing,,,
836,836,Nothing,,,
837,837,Nothing,,,
838,838,Nothing,,,
839,839,Nothing,,,
840,840,Nothing,,,
841,841,Nothing,,,
842,842,Nothing,,,
843,843,Nothing,,,
844,844,Nothing,,,
845,845,Nothing,,,
846,846,Nothing,,,
847,847,Nothing,,,
848,848,Nothing,,,
849,849,Nothing,,,
850,850,Nothing,,,
851,851,Nothing,,,
852,852,Nothing,,,
853,853,Nothing,,,
854,854,Nothing,,,
855,855,Nothing,,,
856,856,Nothing,,,
857,857,Nothing,,,
858,858,Nothing,,,
859,859,Nothing,,,
860,860,Nothing,,,
861,861,Nothing,,,
862,862,Nothing,,,
863,863,Nothing,,,
864,864,Nothing,,,
865,865,Nothing,,,
866,866,Nothing,,,
867,867,Nothing,,,
868,868,Nothing,,,
869,869,Nothing,,,
870,870,Nothing,,,
871,871,Nothing,,,
872,872,Nothing,,,
873,873,Nothing,,,
874,874,Nothing,,,
875,875,Nothing,,,
876,876,Nothing,,,
877,877,Nothing,,,
878,878,Nothing,,,
879,879,Nothing,,,
880,880,Nothing,,,
881,881,Nothing,,,
882,882,Nothing,,,
883,883,Nothing,,,
884,884,Nothing,,,
885,885,Nothing,,,
886,886,Nothing,,,
887,887,Nothing,,,
888,888,Nothing,,,
889,889,Nothing,,,
890,890,Nothing,,,
891,891,Nothing,,,
892,892,Nothing,,,
893,893,Nothing,,,
894,894,Nothing,,,
895,895,Nothing,,,
896,896,Nothing,,,
897,897,Nothing,,,
898,898,Nothing,,,
899,899,Nothing,,,
900,900,Nothing,,,
901,901,Nothing,,,
902,902,Nothing,,,
903,903,Nothing,,,
904,904,Nothing,,,
905,905,Nothing,,,
906,906,Nothing,,,
907,907,Nothing,,,
908,908,Nothing,,,
909,909,Nothing,,,
910,910,Nothing,,,
911,911,Nothing,,,
912,912,Nothing,,,
913,913,Nothing,,,
914,914,Nothing,,,
915,915,Nothing,,,
916,916,Nothing,,,
917,917,Nothing,,,
918,918,Nothing,,,
919,919,Nothing,,,
920,920,Nothing,,,
921,921,Nothing,,,
922,922,Nothing,,,
923,923,Nothing,,,
924,924,Nothing,,,
925,925,Nothing,,,
926,926,Nothing,,,
927,927,Nothing,,,
928,928,Nothing,,,
929,929,Nothing,,,
930,930,Nothing,,,
931,931,Nothing,,,
932,932,Nothing,,,
933,933,Nothing,,,
934,934,Nothing,,,
935,935,Nothing,,,
936,936,Nothing,,,
937,937,Nothing,,,
938,938,Nothing,,,
939,939,Nothing,,,
940,940,Nothing,,,
941,941,Nothing,,,
942,942,Nothing,,,
943,943,Nothing,,,
944,944,Nothing,,,
945,945,Nothing,,,
946,946,Nothing,,,
947,947,Nothing,,,
948,948,Nothing,,,
949,949,Nothing,,,
950,950,Nothing,,,
951,951,Nothing,,,
952,952,Nothing,,,
953,953,Nothing,,,
954,954,Nothing,,,
955,955,Nothing,,,
956,956,Nothing,,,
957,957,Nothing,,,
958,958,Nothing,,,
959,959,Nothing,,,
960,960,Nothing,,,
961,961,Nothing,,,
962,962,Nothing,,,
963,963,Nothing,,,
964,964,Nothing,,,
965,965,Nothing,,,
966,966,Nothing,,,
967,967,Nothing,,,
968,968,Nothing,,,
969,969,Nothing,,,
970,970,Nothing,,,
971,971,Nothing,,,
972,972,Nothing,,,
973,973,Nothing,,,
974,974,Nothing,,,
975,975,Nothing,,,
976,976,Nothing,,,
977,977,Nothing,,,
978,978,Nothing,,,
979,979,Nothing,,,
980,980,Nothing,,,
981,981,Nothing,,,
982,982,Nothing,,,
983,983,Nothing,,,
984,984,Nothing,,,
985,985,Nothing,,,
986,986,Nothing,,,
987,987,Nothing,,,
988,988,Nothing,,,
989,989,Nothing,,,
990,990,Nothing,,,
991,991,Nothing,,,
992,992,Nothing,,,
993,993,Nothing,,,
994,994,Nothing,,,
995,995,Nothing,,,
996,996,Nothing,,,
997,997,Nothing,,,
998,998,Nothing,,,
999,999,Nothing,,,
1000,1000,Nothing,,,
1001,1001,Nothing,,,
1002,1002,Nothing,,,
1003,1003,Nothing,,,
1004,1004,Nothing,,,
1005,1005,Nothing,,,
1006,1006,Nothing,,,
1007,1007,Nothing,,,
1008,1008,Nothing,,,
1009,1009,Nothing,,,
1010,1010,Nothing,,,
1011,1011,Nothing,,,
1012,1012,Nothing,,,
1013,1013,Nothing,,,
1014,1014,Nothing,,,
1015,1015,Nothing,,,
1016,1016,Nothing,,,
1017,1017,Nothing,,,
1018,1018,Nothing,,,
1019,1019,Nothing,,,
1020,1020,Nothing,,,
1021,1021,Nothing,,,
1022,1022,Nothing,,,
1023,1023,Nothing,,,
1024,1024,Nothing,,,
1025,1025,Nothing,,,
1026,1026,Nothing,,,
1027,1027,Nothing,,,
1028,1028,Nothing,,,
1029,1029,Nothing,,,
1030,1030,Nothing,,,
1031,1031,Nothing,,,
1032,1032,Nothing,,,
1033,1033,Nothing,,,
1034,1034,Nothing,,,
1035,1035,Nothing,,,
1036,1036,Nothing,,,
1037,1037,Nothing,,,
1038,1038,Nothing,,,
1039,1039,Nothing,,,
1040,1040,Nothing,,,
1041,1041,Nothing,,,
1042,1042,Nothing,,,
1043,1043,Nothing,,,
1044,1044,Nothing,,,
1045,1045,Nothing,,,
1046,1046,Nothing,,,
1047,1047,Nothing,,,
1048,1048,Nothing,,,
1049,1049,Nothing,,,
1050,1050,Nothing,,,
1051,1051,Nothing,,,
1052,1052,Nothing,,,
1053,1053,Nothing,,,
1054,1054,Nothing,,,
1055,1055,Nothing,,,
1056,1056,Nothing,,,
1057,1057,Nothing,,,
1058,1058,Nothing,,,
1059,1059,Nothing,,,
1060,1060,Nothing,,,
1061,1061,Nothing,,,
1062,1062,Nothing,,,
1063,1063,Nothing,,,
1064,1064,Nothing,,,
1065,1065,Nothing,,,
1066,1066,Nothing,,,
1067,1067,Nothing,,,
1068,1068,Nothing,,,
1069,1069,Nothing,,,
1070,1070,Nothing,,,
1071,1071,Nothing,,,
1072,1072,Nothing,,,
1073,1073,Nothing,,,
1074,1074,Nothing,,,
1075,1075,Nothing,,,
1076,1076,Nothing,,,
1077,1077,Nothing,,,
1078,1078,Nothing,,,
1079,1079,Nothing,,,
1080,1080,Nothing,,,
1081,1081,Nothing,,,
1082,1082,Nothing,,,
1083,1083,Nothing,,,
1084,1084,Nothing,,,
1085,1085,Nothing,,,
1086,1086,Nothing,,,
1087,1087,Nothing,,,
1088,1088,Nothing,,,
1089,1089,Nothing,,,
1090,1090,Nothing,,,
1091,1091,Nothing,,,
1092,1092,Nothing,,,
1093,1093,Nothing,,,
1094,1094,Nothing,,,
1095,1095,Nothing,,,
1096,1096,Nothing,,,
1097,1097,Nothing,,,
1098,1098,Nothing,,,
1099,1099,Nothing,,,
1100,1100,Nothing,,,
1101,1101,Nothing,,,
1102,1102,Nothing,,,
1103,1103,Nothing,,,
1104,1104,Nothing,,,
1105,1105,Nothing,,,
1106,1106,Nothing,,,
1107,1107,Nothing,,,
1108,1108,Nothing,,,
1109,1109,Nothing,,,
1110,1110,Nothing,,,
1111,1111,Nothing,,,
1112,1112,Nothing,,,
1113,1113,Nothing,,,
1114,1114,Nothing,,,
1115,1115,Nothing,,,
1116,1116,Nothing,,,
1117,1117,Nothing,,,
1118,1118,Nothing,,,
1119,1119,Nothing,,,
1120,1120,Nothing,,,
1121,1121,Nothing,,,
1122,1122,Nothing,,,
1123,1123,Nothing,,,
1124,1124,Nothing,,,
1125,1125,Nothing,,,
1126,1126,Nothing,,,
1127,1127,Nothing,,,
1128,1128,Nothing,,,
1129,1129,Nothing,,,
1130,1130,Nothing,,,
1131,1131,Nothing,,,
1132,1132,Nothing,,,
1133,1133,Nothing,,,
1134,1134,Nothing,,,
1135,1135,Nothing,,,
